rosbagTimestamp,data
148340000000,"""15_13_29_812, 86, 700"""
148757000000,"""15_13_30_802, 86, 683"""
149141000000,"""15_13_31_792, 86, 698"""
149523000000,"""15_13_32_782, 87, 703"""
149909000000,"""15_13_33_772, 87, 699"""
150309000000,"""15_13_34_762, 88, 683"""
150698000000,"""15_13_35_753, 88, 675"""
151128000000,"""15_13_36_744, 88, 683"""
151555000000,"""15_13_37_733, 88, 711"""
151951000000,"""15_13_38_722, 88, 689"""
152412000000,"""15_13_39_712, 89, 687"""
152806000000,"""15_13_40_702, 88, 710"""
153234000000,"""15_13_41_692, 88, 713"""
153882000000,"""15_13_43_178, 87, 720"""
154105000000,"""15_13_43_672, 87, 737"""
154484000000,"""15_13_44_662, 86, 723"""
154902000000,"""15_13_45_652, 87, 681"""
155306000000,"""15_13_46_642, 88, 669"""
155726000000,"""15_13_47_636, 88, 696"""
156115000000,"""15_13_48_622, 89, 696"""
156515000000,"""15_13_49_613, 89, 681"""
156914000000,"""15_13_50_602, 89, 677"""
157354000000,"""15_13_51_592, 90, 662"""
157756000000,"""15_13_52_583, 89, 688"""
158151000000,"""15_13_53_573, 89, 700"""
158529000000,"""15_13_54_563, 89, 707"""
158956000000,"""15_13_55_553, 88, 714"""
159341000000,"""15_13_56_543, 88, 701"""
159762000000,"""15_13_57_533, 89, 676"""
160151000000,"""15_13_58_523, 89, 673"""
160541000000,"""15_13_59_513, 89, 685"""
161132000000,"""15_14_00_998, 89, 684"""
161513000000,"""15_14_01_988, 90, 668"""
161757000000,"""15_14_02_483, 90, 684"""
162195000000,"""15_14_03_473, 90, 687"""
162612000000,"""15_14_04_463, 90, 680"""
163045000000,"""15_14_05_453, 89, 687"""
163455000000,"""15_14_06_443, 89, 718"""
163897000000,"""15_14_07_433, 89, 684"""
164316000000,"""15_14_08_423, 90, 644"""
164722000000,"""15_14_09_413, 92, 624"""
165147000000,"""15_14_10_403, 93, 602"""
165774000000,"""15_14_11_888, 93, 675"""
165980000000,"""15_14_12_383, 92, 696"""
166395000000,"""15_14_13_373, 91, 727"""
166996000000,"""15_14_14_858, 91, 702"""
167393000000,"""15_14_15_848, 91, 665"""
167998000000,"""15_14_17_333, 92, 656"""
168200000000,"""15_14_17_828, 92, 636"""
168605000000,"""15_14_18_818, 93, 635"""
169038000000,"""15_14_19_808, 94, 654"""
169455000000,"""15_14_20_798, 94, 626"""
169913000000,"""15_14_21_788, 95, 613"""
170345000000,"""15_14_22_778, 96, 608"""
170796000000,"""15_14_23_768, 96, 668"""
171217000000,"""15_14_24_758, 95, 695"""
171601000000,"""15_14_25_748, 93, 709"""
172010000000,"""15_14_26_738, 92, 708"""
172395000000,"""15_14_27_728, 91, 706"""
172767000000,"""15_14_28_718, 91, 669"""
173285000000,"""15_14_30_203, 92, 641"""
173441000000,"""15_14_30_698, 94, 601"""
173954000000,"""15_14_32_183, 96, 592"""
174153000000,"""15_14_32_678, 97, 613"""
174503000000,"""15_14_33_670, 97, 629"""
174892000000,"""15_14_34_658, 96, 669"""
175270000000,"""15_14_35_648, 94, 698"""
175662000000,"""15_14_36_638, 92, 737"""
176075000000,"""15_14_37_628, 90, 740"""
176441000000,"""15_14_38_618, 90, 719"""
176814000000,"""15_14_39_609, 89, 720"""
177210000000,"""15_14_40_598, 89, 717"""
177607000000,"""15_14_41_588, 88, 697"""
177979000000,"""15_14_42_578, 90, 670"""
178348000000,"""15_14_43_568, 90, 647"""
178697000000,"""15_14_44_558, 91, 641"""
179053000000,"""15_14_45_548, 92, 645"""
179440000000,"""15_14_46_538, 92, 666"""
179843000000,"""15_14_47_528, 91, 677"""
180202000000,"""15_14_48_518, 91, 675"""
180597000000,"""15_14_49_509, 91, 684"""
181003000000,"""15_14_50_498, 91, 677"""
181406000000,"""15_14_51_488, 92, 661"""
181781000000,"""15_14_52_479, 92, 645"""
182168000000,"""15_14_53_468, 93, 649"""
182564000000,"""15_14_54_459, 93, 663"""
182934000000,"""15_14_55_448, 92, 675"""
183341000000,"""15_14_56_438, 92, 709"""
183725000000,"""15_14_57_429, 90, 723"""
184106000000,"""15_14_58_418, 90, 699"""
184504000000,"""15_14_59_409, 89, 710"""
184932000000,"""15_15_00_399, 89, 699"""
185308000000,"""15_15_01_389, 89, 693"""
185691000000,"""15_15_02_379, 89, 673"""
186300000000,"""15_15_03_864, 90, 677"""
186691000000,"""15_15_04_854, 91, 644"""
187061000000,"""15_15_05_844, 92, 647"""
187468000000,"""15_15_06_834, 92, 662"""
187880000000,"""15_15_07_824, 91, 687"""
188262000000,"""15_15_08_814, 91, 697"""
188694000000,"""15_15_09_804, 89, 723"""
189090000000,"""15_15_10_794, 88, 759"""
189483000000,"""15_15_11_784, 87, 738"""
189899000000,"""15_15_12_774, 86, 741"""
190351000000,"""15_15_13_764, 86, 716"""
190824000000,"""15_15_14_754, 87, 691"""
191380000000,"""15_15_15_744, 88, 662"""
191917000000,"""15_15_16_734, 89, 654"""
192459000000,"""15_15_17_724, 89, 670"""
193050000000,"""15_15_18_714, 90, 676"""
193679000000,"""15_15_19_704, 90, 672"""
194320000000,"""15_15_20_694, 90, 689"""
194922000000,"""15_15_21_684, 89, 733"""
195599000000,"""15_15_22_674, 87, 742"""
196198000000,"""15_15_23_664, 87, 740"""
196821000000,"""15_15_24_654, 86, 728"""
197325000000,"""15_15_25_644, 87, 699"""
197832000000,"""15_15_26_634, 89, 661"""
198380000000,"""15_15_27_624, 89, 651"""
